user_id,recency_hours,pv_count_8d,fav_count_8d,cart_count_8d,buy_count_8d,pv_to_buy_ratio,is_churn
1,1.3753,48,0,0,0,0.0000,1
100,7.7503,83,6,0,8,0.0964,1
1000,0.1172,54,9,2,0,0.0000,1
1000001,5.3392,26,0,0,0,0.0000,0
1000004,1.8886,120,0,3,0,0.0000,1
1000011,2.5464,86,6,0,2,0.0233,1
100002,4.4247,75,6,0,1,0.0133,1
1000027,7.2294,12,0,5,1,0.0833,0
1000028,2.5222,86,6,1,3,0.0349,0
1000037,6.6583,73,4,0,5,0.0685,1
1000040,0.1894,418,0,17,0,0.0000,0
1000045,4.2319,108,0,0,0,0.0000,1
1000054,2.3153,40,0,0,4,0.1000,1
1000059,6.8100,226,0,14,0,0.0000,0
1000060,7.8003,35,0,7,1,0.0286,1
1000061,1.8778,23,0,7,1,0.0435,0
1000070,3.2953,82,0,6,1,0.0122,1
1000082,11.8217,100,0,8,0,0.0000,1
1000084,6.8161,143,6,13,5,0.0350,0
1000085,8.7447,94,0,12,12,0.1277,0
100009,6.5481,20,0,0,2,0.1000,1
1000093,2.5661,47,0,9,0,0.0000,0
1000095,11.2758,64,0,3,0,0.0000,1
10001,6.8072,18,0,0,0,0.0000,1
100010,0.5483,174,4,0,0,0.0000,1
1000103,6.2361,47,0,1,2,0.0426,0
1000105,0.3714,15,0,0,0,0.0000,0
1000106,6.2058,62,2,0,0,0.0000,1
1000107,4.6556,75,1,12,0,0.0000,0
1000112,4.3047,12,0,0,0,0.0000,1
1000114,3.2219,217,1,2,0,0.0000,1
1000115,5.7717,32,0,2,6,0.1875,0
1000134,0.4694,5,0,1,3,0.6000,0
1000135,14.0611,80,1,6,1,0.0125,0
1000139,6.4783,23,0,1,1,0.0435,0
1000151,20.2619,10,0,1,2,0.2000,0
1000154,2.1169,142,3,1,1,0.0070,1
1000159,12.1306,66,36,0,0,0.0000,1
1000161,6.9128,31,0,1,0,0.0000,0
1000163,3.9475,33,0,4,0,0.0000,1
1000165,0.5389,127,0,3,2,0.0157,1
1000169,13.4636,68,0,8,1,0.0147,1
1000172,0.3986,106,0,2,0,0.0000,1
1000186,14.5217,72,0,3,1,0.0139,1
1000187,2.3378,52,1,1,0,0.0000,0
1000191,4.5914,39,0,1,5,0.1282,1
1000192,129.6636,17,2,0,0,0.0000,1
1000194,1.9639,100,0,6,1,0.0100,1
1000204,8.3700,41,0,0,1,0.0244,1
1000205,11.8478,119,0,18,0,0.0000,0
1000209,0.6772,108,0,14,3,0.0278,0
100021,1.0375,18,0,0,0,0.0000,1
1000210,9.8711,5,0,2,0,0.0000,1
1000218,8.1369,24,0,0,0,0.0000,1
1000222,12.8461,62,0,20,6,0.0968,0
1000228,3.2294,392,1,19,5,0.0128,1
1000236,8.4394,89,2,11,1,0.0112,0
1000251,3.5978,156,0,6,3,0.0192,0
1000263,2.8247,107,3,8,4,0.0374,1
1000269,3.2550,4,1,1,1,0.2500,0
1000274,71.9992,59,0,6,2,0.0339,1
1000282,0.5661,45,2,0,1,0.0222,1
1000283,6.7908,41,0,2,1,0.0244,1
1000291,7.0825,38,0,3,2,0.0526,1
1000296,1.0639,43,1,0,1,0.0233,1
100030,1.2756,129,0,7,4,0.0310,0
1000307,2.2822,75,0,0,0,0.0000,1
1000313,8.2269,65,0,8,2,0.0308,0
1000315,2.7975,115,2,4,0,0.0000,0
1000317,3.0928,38,0,2,2,0.0526,0
1000319,3.6572,18,0,3,0,0.0000,0
1000321,3.3814,118,0,7,0,0.0000,1
1000326,1.2433,67,1,11,0,0.0000,0
1000328,3.4589,24,0,5,0,0.0000,0
1000331,1.0942,31,1,5,0,0.0000,1
1000332,1.6125,119,1,5,0,0.0000,0
1000335,17.0628,29,0,7,5,0.1724,0
1000349,6.6547,216,0,11,8,0.0370,0
1000364,0.0561,158,0,4,1,0.0063,1
1000374,6.0131,100,1,5,3,0.0300,1
100038,25.1033,34,0,5,0,0.0000,0
1000393,22.2261,15,0,0,0,0.0000,1
1000398,2.0250,201,48,6,2,0.0100,0
1000405,0.8461,24,3,0,0,0.0000,1
1000408,2.1825,187,0,16,3,0.0160,0
1000417,0.6694,359,3,42,10,0.0279,0
1000418,16.5497,11,2,0,0,0.0000,1
1000420,1.4683,142,0,15,1,0.0070,1
1000423,2.7294,22,1,2,0,0.0000,0
1000429,8.6969,52,0,4,1,0.0192,0
1000431,1.2822,32,0,2,0,0.0000,1
1000436,6.1528,343,74,11,6,0.0175,0
1000438,2.4906,26,0,4,0,0.0000,0
1000451,0.1714,30,5,3,0,0.0000,1
1000455,14.2419,173,0,16,1,0.0058,0
1000462,8.3236,169,1,11,0,0.0000,1
1000483,3.1272,8,0,0,0,0.0000,1
1000485,4.7900,38,1,4,1,0.0263,0
1000488,2.5594,180,0,14,18,0.1000,0
1000490,7.7631,112,17,6,2,0.0179,1
1000497,14.4047,92,0,4,1,0.0109,1
1000504,2.6161,25,0,2,1,0.0400,0
1000505,3.7017,47,4,8,6,0.1277,1
1000511,6.3242,8,3,1,1,0.1250,0
1000519,15.3225,109,1,4,2,0.0183,0
1000520,2.6719,155,0,7,3,0.0194,1
1000521,2.2958,170,0,5,0,0.0000,1
1000529,37.9592,4,0,0,0,0.0000,1
1000538,11.1936,26,0,1,1,0.0385,0
1000539,10.8158,134,0,2,1,0.0075,1
1000541,2.7575,147,1,1,1,0.0068,1
1000546,6.8483,100,2,0,0,0.0000,1
1000565,4.3578,42,4,0,6,0.1429,1
1000570,2.4653,12,0,1,0,0.0000,1
1000572,1.6586,100,1,3,0,0.0000,1
1000573,3.8656,82,0,0,2,0.0244,0
1000581,10.0394,30,2,0,3,0.1000,1
1000588,4.1667,36,0,0,2,0.0556,1
1000589,3.8331,33,0,2,0,0.0000,0
100059,3.8689,26,0,1,1,0.0385,1
1000590,5.0078,70,0,7,1,0.0143,0
1000596,0.4686,117,0,7,3,0.0256,0
1000610,0.7100,133,0,14,3,0.0226,0
1000615,5.5767,163,0,2,0,0.0000,1
1000620,34.8633,9,0,1,0,0.0000,1
1000625,5.1633,28,5,0,0,0.0000,1
1000630,9.0225,65,0,12,3,0.0462,1
1000632,11.7714,61,0,1,0,0.0000,1
1000633,0.7856,205,0,10,0,0.0000,0
1000636,3.6814,165,0,8,8,0.0485,0
1000641,20.9442,125,0,1,7,0.0560,1
1000647,0.8339,64,2,0,1,0.0156,0
1000650,1.9278,15,0,0,1,0.0667,1
1000659,1.5739,42,0,3,4,0.0952,1
1000664,0.7161,461,2,19,5,0.0108,0
1000667,3.0139,25,0,3,0,0.0000,1
1000676,4.6703,34,0,1,3,0.0882,1
100068,3.8522,138,14,11,4,0.0290,1
